Language,Repo Names,Parser Location,Impl.Lang.,Style (hw/td),Lexical Phase (if handwritten)
Java,javaparser/javaparser (Github),,Java,LL(k) table-driven (JavaCC),
,,,,,
,,,,,
C,https://clang.llvm.org/doxygen/Parse_2Parser_8cpp_source.html,,C++,"Handwritten, recursive-descent",Yes (https://clang.llvm.org/doxygen/Lexer_8cpp_source.html)
,gcc/gcc/c/c-parser.c (Github),,C,"Handwritten, recursive-descent","Yes (?) ? „The C lexer intermediates between the lexer in cpplib and c-lex.c
   and the C parser.  Unlike the C++ lexer, the parser structure
   stores the lexer information instead of using a separate structure“ (https://github.com/gcc-mirror/gcc/blob/2fe6a798dc52c83b6dd0db4cbb621456e22fb010/gcc/c/c-parser.h)"
,https://github.com/eliben/pycparser,,Python,Table-driven (Yacc?LALR) ?,
C++,http://www.scottmcpeak.com/elkhound/sources/elsa/index.html,,C++,Table-driven (GLR),
,,,,,
,,,,,
Python,,,,,
,,,,,
,,,,,
Visual Basic.NET,,,,,
,,,,,
,,,,,
C#,,,,,
,,,,,
,,,,,
PHP,,,,,
,,,,,
,,,,,
JavaScript,,,,,
,,,,,
,,,,,
SQL,,,,,
,,,,,
,,,,,
Assembly Language,,,,,
